Excel_Row_Number,Trustpilot_Review_ID,Trustpilot_URL,Field_Tested,Original_Excel_Value,Fresh_Trustpilot_Value,Final_Excel_Value,Identity_Verification_Result,QA_Classification,Confidence,Explanation,Fresh_Evidence_Source
389,64555a5a746ca7dfea1751c3,https://www.trustpilot.com/reviews/64555a5a746ca7dfea1751c3,Raw_text,The cabinet just arrived but the doors Aren’t aligned and there are black marks all over it that wont come off.,"The cabinet just arrived but the doors
Aren’t aligned and there are black marks all over it that wont come off.",The cabinet just arrived but the doors Aren’t aligned and there are black marks all over it that wont come off.,EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_389_64555a5a746ca7dfea1751c3.json
100,6384eab7252cba2c02e676ff,https://www.trustpilot.com/reviews/6384eab7252cba2c02e676ff,Raw_text,"I ordered a disc pillow several weeks ago, and it's still not here. Ironically, I paid full price for it, too. The boucle ball I ordered a few weeks, finally arrived last week, quite misshapen. I love",None,"I ordered a disc pillow several weeks ago, and it's still not here. Ironically, I paid full price for it, too. The boucle ball I ordered a few weeks, finally arrived last week, quite misshapen. I love",INSUFFICIENT_IDENTITY_EVIDENCE,UNVERIFIABLE,High,"Fresh Trustpilot retrieval failed or identity could not be independently confirmed (Status: SUCCESS, Reason: INSUFFICIENT_IDENTITY_EVIDENCE).",qa_raw_retrievals/row_100_6384eab7252cba2c02e676ff.json
932,64fe7e18bcce63d2ae29e2d3,https://www.trustpilot.com/reviews/64fe7e18bcce63d2ae29e2d3,Raw_text,Delivery experience was great. Color of the rug was dull in person when compared to online version. I am a bit disappointed but will keep it.,"Delivery experience was great.
Color of the rug was dull in person when compared to online version. I am a bit disappointed but will keep it.",Delivery experience was great. Color of the rug was dull in person when compared to online version. I am a bit disappointed but will keep it.,EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_932_64fe7e18bcce63d2ae29e2d3.json
722,64a740e8706f837cb10c1802,https://www.trustpilot.com/reviews/64a740e8706f837cb10c1802,Raw_text,I expected a new mirror not one that had already been sent to someone else. Very disappointing. It was damaged and I will be returning it. Your customer support has been great at refunding me which I ,"I expected a new mirror not one that had already been sent to someone else. Very disappointing. It was damaged and I will be returning it.
Your customer support has been great at refunding me which I ",I expected a new mirror not one that had already been sent to someone else. Very disappointing. It was damaged and I will be returning it. Your customer support has been great at refunding me which I ,EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_722_64a740e8706f837cb10c1802.json
599,647fa01e706f837cb1f95717,https://www.trustpilot.com/reviews/647fa01e706f837cb1f95717,Raw_text,"Wonderful is every way! Beautiful rug, such fast shipping. I love it!","Beautiful rug, such fast shipping. I love it!","Wonderful is every way! Beautiful rug, such fast shipping. I love it!",EXACT_REVIEW_ID_MATCH,EXTRACTION_ERROR,High,"Trustpilot has genuine review text ('Beautiful rug, such fast shipping. I love it!...'), but Final Excel target column 4 ('Raw_text') retained 'Wonderful is every way! Beautiful rug, such fast shipping. I...' because production verifier wrote it to column 3 ('Url').",qa_raw_retrievals/row_599_647fa01e706f837cb1f95717.json
492,646fe40ec4234462866a2dc5,https://www.trustpilot.com/reviews/646fe40ec4234462866a2dc5,Raw_text,The sideboard is prettier than I… The sideboard is prettier than I expected. I love it. I would have given 5 stars but it took months to finally receive it.,The sideboard is prettier than I expected. I love it. I would have given 5 stars but it took months to finally receive it.,The sideboard is prettier than I… The sideboard is prettier than I expected. I love it. I would have given 5 stars but it took months to finally receive it.,EXACT_REVIEW_ID_MATCH,EXTRACTION_ERROR,High,"Trustpilot has genuine review text ('The sideboard is prettier than I expected. I love it. I woul...'), but Final Excel target column 4 ('Raw_text') retained 'The sideboard is prettier than I… The sideboard is prettier ...' because production verifier wrote it to column 3 ('Url').",qa_raw_retrievals/row_492_646fe40ec4234462866a2dc5.json
326,6431dca8746ca7dfea05bee0,https://www.trustpilot.com/reviews/6431dca8746ca7dfea05bee0,Raw_text,"I received a MISSHIP which, although rather inconvenient, has been speedily resolved by Lulu and Georgia after a hiatus for the Easter holiday weekend. I am relieved as I love the pieces I have bought","I received a MISSHIP which, although rather inconvenient, has been speedily resolved by Lulu and Georgia after a hiatus for the Easter holiday weekend.
I am relieved as I love the pieces I have bought","I received a MISSHIP which, although rather inconvenient, has been speedily resolved by Lulu and Georgia after a hiatus for the Easter holiday weekend. I am relieved as I love the pieces I have bought",EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_326_6431dca8746ca7dfea05bee0.json
277,6430809f734f97e68f99d734,https://www.trustpilot.com/reviews/6430809f734f97e68f99d734,Raw_text,I had a problem with my item when it arrived. Customer service was very helpful with a quick response. Highly recommend this company.,"I had a problem with my item when it arrived.
Customer service was very helpful with a quick response.
Highly recommend this company.",I had a problem with my item when it arrived. Customer service was very helpful with a quick response. Highly recommend this company.,EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_277_6430809f734f97e68f99d734.json
1506,6a1724ba576bc63f45226a4a,https://www.trustpilot.com/reviews/6a1724ba576bc63f45226a4a,Raw_text,"A delightful delivery. Clean, kind , concerned. My cushions are white, they made sure the furniture was wiped clean before placing them. Also, so accommodating moving sofas to my liking","A delightful delivery.
Clean, kind , concerned.
My cushions are white, they made sure the furniture was wiped clean before placing them.
Also, so accommodating moving sofas to my liking","A delightful delivery. Clean, kind , concerned. My cushions are white, they made sure the furniture was wiped clean before placing them. Also, so accommodating moving sofas to my liking",EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_1506_6a1724ba576bc63f45226a4a.json
124,63d833394b01fb3f5491be33,https://www.trustpilot.com/reviews/63d833394b01fb3f5491be33,Raw_text,I appreciate the uniqueness of Lulu and Georgia's merchandize. I adore the ability to earn points on my purchases but using those points can be a bit challenging. I was able to get clear detailed help,I appreciate the uniqueness of Lulu and Georgia's merchandize. I adore the ability to earn points on my purchases but using those points can be a bit challenging. I was able to get clear detailed help,I appreciate the uniqueness of Lulu and Georgia's merchandize. I adore the ability to earn points on my purchases but using those points can be a bit challenging. I was able to get clear detailed help,EXACT_REVIEW_ID_MATCH,FORMAT_NORMALIZATION,High,"Review text was already identical in substance; differed only in minor punctuation, whitespace, or newlines.",qa_raw_retrievals/row_124_63d833394b01fb3f5491be33.json
272,64246f1b1f08d0d084924e41,https://www.trustpilot.com/reviews/64246f1b1f08d0d084924e41,Support_reply,"Hello Emily, we’re sorry to hear you still haven’t received your order. Our Customer Experience team reached out to you today and they are looking into an updated ship date with our supplier, but plea",None,"Hello Emily, we’re sorry to hear you still haven’t received your order. Our Customer Experience team reached out to you today and they are looking into an updated ship date with our supplier, but plea",INSUFFICIENT_IDENTITY_EVIDENCE,UNVERIFIABLE,High,"Fresh Trustpilot retrieval failed or identity could not be independently confirmed (Status: SUCCESS, Reason: INSUFFICIENT_IDENTITY_EVIDENCE).",qa_raw_retrievals/row_272_64246f1b1f08d0d084924e41.json
